,ID,TÍTULO,ANO,CLUBE,TIPO
33,33,MELHOR MARCADOR,13/14,UEFA Champions League - 17 Golos,Individual
34,34,MELHOR MARCADOR,12/13,UEFA Champions League - 12 Golos,Individual
35,35,MELHOR MARCADOR,11/12,Campeonato da Europa 2012 - 3 Golos,Individual
36,36,MELHOR MARCADOR,10/11,Copa do Rei - 7 Golos,Individual
37,37,MELHOR MARCADOR,10/11,LaLiga - 40 Golos,Individual
38,38,MELHOR MARCADOR,07/08,UEFA Champions League - 8 Golos,Individual
39,39,MELHOR MARCADOR,07/08,Premier League - 31 Golos,Individual
40,40,MELHOR MARCADOR,04/05,FA Cup,Individual
41,41,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2019,Itália,Individual
42,42,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2017,Espanha,Individual
43,43,CAMPEÃO DA EUROPA,2016,Portugal,Time
44,44,VENCEDOR DA CHAMPIONS-LEAGUE,17/18,Real Madrid CF,Time
45,45,VENCEDOR DA CHAMPIONS-LEAGUE,16/17,Real Madrid CF,Time
46,46,VENCEDOR DA CHAMPIONS-LEAGUE,15/16,Real Madrid CF,Time
47,47,VENCEDOR DA CHAMPIONS-LEAGUE,13/14,Real Madrid CF,Time
48,48,VENCEDOR DA CHAMPIONS-LEAGUE,07/08,Manchester United FC,Time
49,49,CAMPEÃO DO MUNDO FIFA-KLUB,2017,Real Madrid CF,Time
50,50,CAMPEÃO DO MUNDO FIFA-KLUB,2016,Real Madrid CF,Time
51,51,CAMPEÃO DO MUNDO FIFA-KLUB,2014,Real Madrid CF,Time
52,52,CAMPEÃO DO MUNDO FIFA-KLUB,2008,Manchester United FC,Time
53,53,CAMPEÃO DA INGLATERRA,2009,Manchester United FC,Time
54,54,CAMPEÃO DA INGLATERRA,2008,Manchester United FC,Time
55,55,CAMPEÃO DA INGLATERRA,2007,Manchester United FC,Time
56,56,CAMPEÃO DE ESPANHA,16/17,Real Madrid CF,Time
57,57,CAMPEÃO DE ESPANHA,2023-12-11 00:00:00,Real Madrid CF,Time
58,58,CAMPEÃO DE ITÁLIA,19/20,Juventus FC,Time
59,59,CAMPEÃO DE ITÁLIA,18/19,Juventus FC,Time
60,60,VENCEDOR UEFA NATIONS LEAGUE,2019,Portugal,Time
61,61,VENCEDOR UEFA-SUPERCUP,17/18,Real Madrid CF,Time
62,62,VENCEDOR UEFA-SUPERCUP,16/17,Real Madrid CF,Time
63,63,VENCEDOR UEFA-SUPERCUP,14/15,Real Madrid CF,Time
64,64,VENCEDOR DA TAÇA DE INGLATERRA,2004,Manchester United FC,Time
65,65,VENCEDOR DA TAÇA DE ESPANHA,13/14,Real Madrid CF,Time
66,66,VENCEDOR DA TAÇA DE ESPANHA,10/11,Real Madrid CF,Time
67,67,VENCEDOR DA TAÇA DE ITÁLIA,20/21,Juventus FC,Time
68,68,VENCEDOR DA TAÇA DA LIGA DE INGLATERRA,2009,Manchester United FC,Time
69,69,VENCEDOR DA TAÇA DA LIGA DE INGLATERRA,2006,Manchester United FC,Time
70,70,VENCEDOR DA SUPERTAÇA DE ESPANHA,17/18,Real Madrid CF,Time
71,71,VENCEDOR DA SUPERTAÇA DE ESPANHA,12/13,Real Madrid CF,Time
72,72,VENCEDOR DA SUPERTAÇA DA ITÁLIA,20/21,Juventus FC,Time
73,73,VENCEDOR DA SUPERTAÇA DA ITÁLIA,18/19,Juventus FC,Time
74,74,VENCEDOR DA SUPERTAÇA DE INGLATERRA,2008,Manchester United FC,Time
75,75,VENCEDOR DA SUPERTAÇA DE INGLATERRA,2007,Manchester United FC,Time
76,76,VENCEDOR DA SUPERTAÇA DE PORTUGAL,2002,Sporting CP,Time
