,Unnamed: 0,TÍTULO,ANO,CLUBE,JOGADOR,TIPO
41,41,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2019,Itália,Cristiano Ronaldo,Individual
42,42,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2017,Espanha,Cristiano Ronaldo,Individual
43,43,CAMPEÃO DA EUROPA,2016,Portugal,Cristiano Ronaldo,Time
44,44,VENCEDOR DA CHAMPIONS-LEAGUE,17/18,Real Madrid CF,Cristiano Ronaldo,Time
45,45,VENCEDOR DA CHAMPIONS-LEAGUE,16/17,Real Madrid CF,Cristiano Ronaldo,Time
46,46,VENCEDOR DA CHAMPIONS-LEAGUE,15/16,Real Madrid CF,Cristiano Ronaldo,Time
47,47,VENCEDOR DA CHAMPIONS-LEAGUE,13/14,Real Madrid CF,Cristiano Ronaldo,Time
48,48,VENCEDOR DA CHAMPIONS-LEAGUE,07/08,Manchester United FC,Cristiano Ronaldo,Time
49,49,CAMPEÃO DO MUNDO FIFA-KLUB,2017,Real Madrid CF,Cristiano Ronaldo,Time
50,50,CAMPEÃO DO MUNDO FIFA-KLUB,2016,Real Madrid CF,Cristiano Ronaldo,Time
51,51,CAMPEÃO DO MUNDO FIFA-KLUB,2014,Real Madrid CF,Cristiano Ronaldo,Time
52,52,CAMPEÃO DO MUNDO FIFA-KLUB,2008,Manchester United FC,Cristiano Ronaldo,Time
53,53,CAMPEÃO DA INGLATERRA,2009,Manchester United FC,Cristiano Ronaldo,Time
54,54,CAMPEÃO DA INGLATERRA,2008,Manchester United FC,Cristiano Ronaldo,Time
55,55,CAMPEÃO DA INGLATERRA,2007,Manchester United FC,Cristiano Ronaldo,Time
56,56,CAMPEÃO DE ESPANHA,16/17,Real Madrid CF,Cristiano Ronaldo,Time
57,57,CAMPEÃO DE ESPANHA,2023-12-11 00:00:00,Real Madrid CF,Cristiano Ronaldo,Time
58,58,CAMPEÃO DE ITÁLIA,19/20,Juventus FC,Cristiano Ronaldo,Time
59,59,CAMPEÃO DE ITÁLIA,18/19,Juventus FC,Cristiano Ronaldo,Time
60,60,VENCEDOR UEFA NATIONS LEAGUE,2019,Portugal,Cristiano Ronaldo,Time
61,61,VENCEDOR UEFA-SUPERCUP,17/18,Real Madrid CF,Cristiano Ronaldo,Time
62,62,VENCEDOR UEFA-SUPERCUP,16/17,Real Madrid CF,Cristiano Ronaldo,Time
63,63,VENCEDOR UEFA-SUPERCUP,14/15,Real Madrid CF,Cristiano Ronaldo,Time
64,64,VENCEDOR DA TAÇA DE INGLATERRA,2004,Manchester United FC,Cristiano Ronaldo,Time
65,65,VENCEDOR DA TAÇA DE ESPANHA,13/14,Real Madrid CF,Cristiano Ronaldo,Time
66,66,VENCEDOR DA TAÇA DE ESPANHA,10/11,Real Madrid CF,Cristiano Ronaldo,Time
67,67,VENCEDOR DA TAÇA DE ITÁLIA,20/21,Juventus FC,Cristiano Ronaldo,Time
68,68,VENCEDOR DA TAÇA DA LIGA DE INGLATERRA,2009,Manchester United FC,Cristiano Ronaldo,Time
69,69,VENCEDOR DA TAÇA DA LIGA DE INGLATERRA,2006,Manchester United FC,Cristiano Ronaldo,Time
70,70,VENCEDOR DA SUPERTAÇA DE ESPANHA,17/18,Real Madrid CF,Cristiano Ronaldo,Time
71,71,VENCEDOR DA SUPERTAÇA DE ESPANHA,12/13,Real Madrid CF,Cristiano Ronaldo,Time
72,72,VENCEDOR DA SUPERTAÇA DA ITÁLIA,20/21,Juventus FC,Cristiano Ronaldo,Time
73,73,2X VENCEDOR DA SUPERTAÇA DA ITÁLIA,18/19,Juventus FC,Cristiano Ronaldo,Time
74,74,VENCEDOR DA SUPERTAÇA DE INGLATERRA,2008,Manchester United FC,Cristiano Ronaldo,Time
75,75,VENCEDOR DA SUPERTAÇA DE INGLATERRA,2007,Manchester United FC,Cristiano Ronaldo,Time
76,76,VENCEDOR DA SUPERTAÇA DE PORTUGAL,2002,Sporting CP,Cristiano Ronaldo,Time
77,77,MELHOR JOGADOR DO MUNDO,2022,Lionel Messi,Lionel Messi,Individual
78,78,MELHOR JOGADOR DO MUNDO,2019,Lionel Messi,Lionel Messi,Individual
79,79,MELHOR JOGADOR DO MUNDO,2009,Lionel Messi,Lionel Messi,Individual
80,80,VENCEDOR BALLON D OR,2021,Lionel Messi,Lionel Messi,Individual
81,81,VENCEDOR BALLON D OR,2019,Lionel Messi,Lionel Messi,Individual
82,82,VENCEDOR BALLON D OR,2015,Lionel Messi,Lionel Messi,Individual
83,83,VENCEDOR BALLON D OR,2012,Lionel Messi,Lionel Messi,Individual
84,84,VENCEDOR BALLON D OR,2011,Lionel Messi,Lionel Messi,Individual
85,85,VENCEDOR BALLON D OR,2010,Lionel Messi,Lionel Messi,Individual
86,86,VENCEDOR BALLON D OR,2009,Lionel Messi,Lionel Messi,Individual
87,87,O FUTEBOLISTA DO ANO DA EUROPA,2015,Lionel Messi,Lionel Messi,Individual
88,88,O FUTEBOLISTA DO ANO DA EUROPA,2011,Lionel Messi,Lionel Messi,Individual
89,89,O FUTEBOLISTA DO ANO DA EUROPA,2009,Lionel Messi,Lionel Messi,Individual
90,90,MELHOR MARCADOR,20/21,Copa América 2021 - 4 Golos,Lionel Messi,Individual
91,91,MELHOR MARCADOR,20/21,LaLiga - 30 Golos,Lionel Messi,Individual
92,92,MELHOR MARCADOR,19/20,LaLiga - 25 Golos,Lionel Messi,Individual
93,93,MELHOR MARCADOR,18/19,LaLiga - 36 Golos,Lionel Messi,Individual
94,94,MELHOR MARCADOR,18/19,UEFA Champions League - 12 Golos,Lionel Messi,Individual
95,95,MELHOR MARCADOR,17/18,LaLiga - 34 Golos,Lionel Messi,Individual
96,96,MELHOR MARCADOR,16/17,Copa do Rei,Lionel Messi,Individual
97,97,MELHOR MARCADOR,16/17,LaLiga - 37 Golos,Lionel Messi,Individual
98,98,MELHOR MARCADOR,15/16,Copa do Rei - 5 Golos,Lionel Messi,Individual
99,99,MELHOR MARCADOR,14/15,UEFA Champions League - 10 Golos,Lionel Messi,Individual
100,100,MELHOR MARCADOR,13/14,Copa do Rei - 5 Golos,Lionel Messi,Individual
101,101,MELHOR MARCADOR,12/13,LaLiga - 46 Golos,Lionel Messi,Individual
102,102,MELHOR MARCADOR,11/12,UEFA Champions League - 14 Golos,Lionel Messi,Individual
103,103,MELHOR MARCADOR,11/12,LaLiga - 50 Golos,Lionel Messi,Individual
104,104,MELHOR MARCADOR,10/11,Mundial de Clubes,Lionel Messi,Individual
105,105,MELHOR MARCADOR,10/11,UEFA Champions League - 12 Golos,Lionel Messi,Individual
106,106,MELHOR MARCADOR,10/11,Copa do Rei,Lionel Messi,Individual
107,107,MELHOR MARCADOR,09/10,LaLiga - 34 Golos,Lionel Messi,Individual
108,108,MELHOR MARCADOR,09/10,UEFA Champions League - 8 Golos,Lionel Messi,Individual
109,109,MELHOR MARCADOR,08/09,Copa do Rei - 6 Golos,Lionel Messi,Individual
110,110,MELHOR MARCADOR,08/09,UEFA Champions League - 9 Golos,Lionel Messi,Individual
111,111,MELHOR MARCADOR,04/05,Campeonato do Mundo Sub 20 2005 - 6 Golos,Lionel Messi,Individual
112,112,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2021,Espanha,Lionel Messi,Individual
113,113,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2020,Espanha,Lionel Messi,Individual
114,114,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2019,Espanha,Lionel Messi,Individual
115,115,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2018,Espanha,Lionel Messi,Individual
116,116,CAMPEÃO DO MUNDO,2022,Argentina,Lionel Messi,Time
117,117,VENCEDOR COPA AMÉRICA,20/21,Argentina,Lionel Messi,Time
118,118,VENCEDOR DA CHAMPIONS-LEAGUE,14/15,FC Barcelona,Lionel Messi,Time
119,119,VENCEDOR DA CHAMPIONS-LEAGUE,10/11,FC Barcelona,Lionel Messi,Time
120,120,VENCEDOR DA CHAMPIONS-LEAGUE,08/09,FC Barcelona,Lionel Messi,Time
121,121,VENCEDOR DA CHAMPIONS-LEAGUE,05/06,FC Barcelona,Lionel Messi,Time
122,122,CAMPEÃO DO MUNDO FIFA-KLUB,2016,FC Barcelona,Lionel Messi,Time
123,123,CAMPEÃO DO MUNDO FIFA-KLUB,2012,FC Barcelona,Lionel Messi,Time
124,124,CAMPEÃO DO MUNDO FIFA-KLUB,2010,FC Barcelona,Lionel Messi,Time
125,125,CAMPEÃO DE ESPANHA,18/19,FC Barcelona,Lionel Messi,Time
126,126,10X CAMPEÃO DE ESPANHA,17/18,FC Barcelona,Lionel Messi,Time
127,127,10X CAMPEÃO DE ESPANHA,15/16,FC Barcelona,Lionel Messi,Time
128,128,10X CAMPEÃO DE ESPANHA,14/15,FC Barcelona,Lionel Messi,Time
129,129,10X CAMPEÃO DE ESPANHA,12/13,FC Barcelona,Lionel Messi,Time
130,130,10X CAMPEÃO DE ESPANHA,10/11,FC Barcelona,Lionel Messi,Time
131,131,10X CAMPEÃO DE ESPANHA,09/10,FC Barcelona,Lionel Messi,Time
132,132,10X CAMPEÃO DE ESPANHA,08/09,FC Barcelona,Lionel Messi,Time
133,133,10X CAMPEÃO DE ESPANHA,05/04,FC Barcelona,Lionel Messi,Time
134,134,10X CAMPEÃO DE ESPANHA,04/05,FC Barcelona,Lionel Messi,Time
135,135,CAMPEÃO DE FRANÇA,21/22,FC Paris Saint-Germain,Lionel Messi,Time
136,136,VENCEDOR UEFA-SUPERCUP,15/16,FC Barcelona,Lionel Messi,Time
137,137,VENCEDOR UEFA-SUPERCUP,11/12,FC Barcelona,Lionel Messi,Time
138,138,VENCEDOR UEFA-SUPERCUP,09/10,FC Barcelona,Lionel Messi,Time
139,139,VENCEDOR DA TAÇA DE ESPANHA,20/21,FC Barcelona,Lionel Messi,Time
140,140,VENCEDOR DA TAÇA DE ESPANHA,17/18,FC Barcelona,Lionel Messi,Time
141,141,VENCEDOR DA TAÇA DE ESPANHA,16/17,FC Barcelona,Lionel Messi,Time
142,142,VENCEDOR DA TAÇA DE ESPANHA,15/16,FC Barcelona,Lionel Messi,Time
143,143,VENCEDOR DA TAÇA DE ESPANHA,14/15,FC Barcelona,Lionel Messi,Time
144,144,VENCEDOR DA TAÇA DE ESPANHA,11/12,FC Barcelona,Lionel Messi,Time
145,145,VENCEDOR DA TAÇA DE ESPANHA,08/09,FC Barcelona,Lionel Messi,Time
146,146,VENCEDOR DA SUPERTAÇA DE ESPANHA,18/19,FC Barcelona,Lionel Messi,Time
147,147,VENCEDOR DA SUPERTAÇA DE ESPANHA,16/17,FC Barcelona,Lionel Messi,Time
148,148,VENCEDOR DA SUPERTAÇA DE ESPANHA,13/14,FC Barcelona,Lionel Messi,Time
149,149,VENCEDOR DA SUPERTAÇA DE ESPANHA,11/12,FC Barcelona,Lionel Messi,Time
150,150,VENCEDOR DA SUPERTAÇA DE ESPANHA,10/11,FC Barcelona,Lionel Messi,Time
151,151,VENCEDOR DA SUPERTAÇA DE ESPANHA,09/10,FC Barcelona,Lionel Messi,Time
152,152,VENCEDOR DA SUPERTAÇA DE ESPANHA,06/07,FC Barcelona,Lionel Messi,Time
153,153,VENCEDOR DA SUPERTAÇA DE ESPANHA,05/06,FC Barcelona,Lionel Messi,Time
154,154,CAMPEÃO DO MUNDO SUB20,2005,Argentina Sub-20,Lionel Messi,Time
155,155,CONMEBOL-UEFA CUP OF CHAMPIONS WINNER,21/22,Argentina,Lionel Messi,Time
156,156,VENCEDOR DA SUPERTAÇA DE FRANÇA,22/23,FC Paris Saint-Germain,Lionel Messi,Time
157,157,VENCEDOR OLÍMPICO,2023-09-08 00:00:00,Argentina olímpica,Lionel Messi,Individual
