,TÍTULO,ANO,CLUBE,JOGADOR
92,MELHOR MARCADOR,19/20,LaLiga - 25 Golos,Lionel Messi
93,MELHOR MARCADOR,18/19,LaLiga - 36 Golos,Lionel Messi
94,MELHOR MARCADOR,18/19,UEFA Champions League - 12 Golos,Lionel Messi
95,MELHOR MARCADOR,17/18,LaLiga - 34 Golos,Lionel Messi
96,MELHOR MARCADOR,16/17,Copa do Rei,Lionel Messi
97,MELHOR MARCADOR,16/17,LaLiga - 37 Golos,Lionel Messi
98,MELHOR MARCADOR,15/16,Copa do Rei - 5 Golos,Lionel Messi
99,MELHOR MARCADOR,14/15,UEFA Champions League - 10 Golos,Lionel Messi
100,MELHOR MARCADOR,13/14,Copa do Rei - 5 Golos,Lionel Messi
101,MELHOR MARCADOR,12/13,LaLiga - 46 Golos,Lionel Messi
102,MELHOR MARCADOR,11/12,UEFA Champions League - 14 Golos,Lionel Messi
103,MELHOR MARCADOR,11/12,LaLiga - 50 Golos,Lionel Messi
104,MELHOR MARCADOR,10/11,Mundial de Clubes,Lionel Messi
105,MELHOR MARCADOR,10/11,UEFA Champions League - 12 Golos,Lionel Messi
106,MELHOR MARCADOR,10/11,Copa do Rei,Lionel Messi
107,MELHOR MARCADOR,09/10,LaLiga - 34 Golos,Lionel Messi
108,MELHOR MARCADOR,09/10,UEFA Champions League - 8 Golos,Lionel Messi
109,MELHOR MARCADOR,08/09,Copa do Rei - 6 Golos,Lionel Messi
110,MELHOR MARCADOR,08/09,UEFA Champions League - 9 Golos,Lionel Messi
111,MELHOR MARCADOR,04/05,Campeonato do Mundo Sub 20 2005 - 6 Golos,Lionel Messi
112,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2021,Espanha,Lionel Messi
113,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2020,Espanha,Lionel Messi
114,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2019,Espanha,Lionel Messi
115,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2018,Espanha,Lionel Messi
116,CAMPEÃO DO MUNDO,2022,Argentina,Lionel Messi
117,VENCEDOR COPA AMÉRICA,20/21,Argentina,Lionel Messi
118,VENCEDOR DA CHAMPIONS-LEAGUE,14/15,FC Barcelona,Lionel Messi
119,VENCEDOR DA CHAMPIONS-LEAGUE,10/11,FC Barcelona,Lionel Messi
120,VENCEDOR DA CHAMPIONS-LEAGUE,08/09,FC Barcelona,Lionel Messi
121,VENCEDOR DA CHAMPIONS-LEAGUE,05/06,FC Barcelona,Lionel Messi
122,CAMPEÃO DO MUNDO FIFA-KLUB,2016,FC Barcelona,Lionel Messi
123,CAMPEÃO DO MUNDO FIFA-KLUB,2012,FC Barcelona,Lionel Messi
124,CAMPEÃO DO MUNDO FIFA-KLUB,2010,FC Barcelona,Lionel Messi
125,CAMPEÃO DE ESPANHA,18/19,FC Barcelona,Lionel Messi
126,CAMPEÃO DE ESPANHA,17/18,FC Barcelona,Lionel Messi
127,CAMPEÃO DE ESPANHA,15/16,FC Barcelona,Lionel Messi
128,CAMPEÃO DE ESPANHA,14/15,FC Barcelona,Lionel Messi
129,CAMPEÃO DE ESPANHA,12/13,FC Barcelona,Lionel Messi
130,CAMPEÃO DE ESPANHA,10/11,FC Barcelona,Lionel Messi
131,CAMPEÃO DE ESPANHA,09/10,FC Barcelona,Lionel Messi
132,CAMPEÃO DE ESPANHA,08/09,FC Barcelona,Lionel Messi
133,CAMPEÃO DE ESPANHA,05/04,FC Barcelona,Lionel Messi
134,CAMPEÃO DE ESPANHA,04/05,FC Barcelona,Lionel Messi
135,CAMPEÃO DE FRANÇA,21/22,FC Paris Saint-Germain,Lionel Messi
136,VENCEDOR UEFA-SUPERCUP,15/16,FC Barcelona,Lionel Messi
137,VENCEDOR UEFA-SUPERCUP,11/12,FC Barcelona,Lionel Messi
138,VENCEDOR UEFA-SUPERCUP,09/10,FC Barcelona,Lionel Messi
139,VENCEDOR DA TAÇA DE ESPANHA,20/21,FC Barcelona,Lionel Messi
140,VENCEDOR DA TAÇA DE ESPANHA,17/18,FC Barcelona,Lionel Messi
141,VENCEDOR DA TAÇA DE ESPANHA,16/17,FC Barcelona,Lionel Messi
142,VENCEDOR DA TAÇA DE ESPANHA,15/16,FC Barcelona,Lionel Messi
143,VENCEDOR DA TAÇA DE ESPANHA,14/15,FC Barcelona,Lionel Messi
144,VENCEDOR DA TAÇA DE ESPANHA,11/12,FC Barcelona,Lionel Messi
145,VENCEDOR DA TAÇA DE ESPANHA,08/09,FC Barcelona,Lionel Messi
146,VENCEDOR DA SUPERTAÇA DE ESPANHA,18/19,FC Barcelona,Lionel Messi
147,VENCEDOR DA SUPERTAÇA DE ESPANHA,16/17,FC Barcelona,Lionel Messi
148,VENCEDOR DA SUPERTAÇA DE ESPANHA,13/14,FC Barcelona,Lionel Messi
149,VENCEDOR DA SUPERTAÇA DE ESPANHA,11/12,FC Barcelona,Lionel Messi
150,VENCEDOR DA SUPERTAÇA DE ESPANHA,10/11,FC Barcelona,Lionel Messi
151,VENCEDOR DA SUPERTAÇA DE ESPANHA,09/10,FC Barcelona,Lionel Messi
152,VENCEDOR DA SUPERTAÇA DE ESPANHA,06/07,FC Barcelona,Lionel Messi
153,VENCEDOR DA SUPERTAÇA DE ESPANHA,05/06,FC Barcelona,Lionel Messi
154,CAMPEÃO DO MUNDO SUB20,2005,Argentina Sub-20,Lionel Messi
155,CONMEBOL-UEFA CUP OF CHAMPIONS WINNER,21/22,Argentina,Lionel Messi
156,VENCEDOR DA SUPERTAÇA DE FRANÇA,22/23,FC Paris Saint-Germain,Lionel Messi
157,VENCEDOR OLÍMPICO,2023-09-08 00:00:00,Argentina olímpica,Lionel Messi
